TemplateName,Category,HeaderType,MediaUsed,Footer,Buttons,CTAType,Variables,Status,MetaError,FixApplied,FinalResult,Description,VariablesUsed,DosDonts
marketing_text_cta_qr_nofooter_promo_vars_0891,MARKETING,TEXT,,,BOTH,VISIT_WEBSITE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, BOTH buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_qr_nofooter_promo_vars_1950,MARKETING,TEXT,,,BOTH,CALL_PHONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, BOTH buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_qr_nofooter_coupon_vars_9841,MARKETING,TEXT,,,BOTH,COPY_COUPON,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, BOTH buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_none_footer_update_novars_1099,UTILITY,NONE,,TRUE,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with NONE header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_quick_reply_footer_update_novars_3203,UTILITY,NONE,,TRUE,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with NONE header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_none_nofooter_update_novars_2835,UTILITY,NONE,,,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with NONE header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_quick_reply_nofooter_update_novars_5358,UTILITY,NONE,,,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with NONE header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_none_footer_update_novars_4221,UTILITY,TEXT,,TRUE,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_quick_reply_footer_update_novars_2116,UTILITY,TEXT,,TRUE,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_none_nofooter_update_novars_1025,UTILITY,TEXT,,,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_none_footer_update_novars_8412,UTILITY,IMAGE,TRUE,TRUE,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_quick_reply_footer_update_novars_1538,UTILITY,IMAGE,TRUE,TRUE,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_none_nofooter_update_novars_5669,UTILITY,IMAGE,TRUE,,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_quick_reply_nofooter_update_novars_8985,UTILITY,IMAGE,TRUE,,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_none_footer_invoice_novars_1372,UTILITY,DOCUMENT,TRUE,TRUE,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_quick_reply_footer_invoice_novars_2013,UTILITY,DOCUMENT,TRUE,TRUE,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_none_nofooter_invoice_novars_3343,UTILITY,DOCUMENT,TRUE,,NONE,NONE,,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_quick_reply_nofooter_invoice_novars_3293,UTILITY,DOCUMENT,TRUE,,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_none_footer_update_vars_4918,UTILITY,NONE,,TRUE,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with NONE header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_quick_reply_footer_update_vars_5278,UTILITY,NONE,,TRUE,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with NONE header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_none_nofooter_update_vars_7667,UTILITY,NONE,,,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with NONE header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_none_quick_reply_nofooter_update_vars_7259,UTILITY,NONE,,,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with NONE header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_none_footer_update_vars_6817,UTILITY,TEXT,,TRUE,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_quick_reply_footer_update_vars_8114,UTILITY,TEXT,,TRUE,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_none_nofooter_update_vars_8927,UTILITY,TEXT,,,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_text_quick_reply_nofooter_update_vars_9483,UTILITY,TEXT,,,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with TEXT header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_none_footer_update_vars_9722,UTILITY,IMAGE,TRUE,TRUE,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_quick_reply_footer_update_vars_2112,UTILITY,IMAGE,TRUE,TRUE,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_none_nofooter_update_vars_3274,UTILITY,IMAGE,TRUE,,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_image_quick_reply_nofooter_update_vars_4233,UTILITY,IMAGE,TRUE,,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with IMAGE header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_none_footer_invoice_vars_4656,UTILITY,DOCUMENT,TRUE,TRUE,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_quick_reply_footer_invoice_vars_5326,UTILITY,DOCUMENT,TRUE,TRUE,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_none_nofooter_invoice_vars_7409,UTILITY,DOCUMENT,TRUE,,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
utility_document_quick_reply_nofooter_invoice_vars_7020,UTILITY,DOCUMENT,TRUE,,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested UTILITY template with DOCUMENT header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
